"true_ci","total_size","gs_lambda","gs_ci","se_gs_ci","cc_ci","se_cc_ci","mb_ci","se_mb_ci","nv_ci","se_nv_ci"
0.5,2500,0.593509197041472,0.516561430451593,0.0158649153076968,0.558045894137297,0.0693491547176923,0.48216845553299,0.0405131801951395,0.290898339887811,0.0159794391493431
0.5,2500,0.611074285291886,0.472350739896815,0.0140776383830523,0.415522365282844,0.0382651488682917,0.480785045638011,0.037274507011606,0.286576755155554,0.0153126652707211
0.5,2500,0.616978300060528,0.487842524169304,0.0154370865090435,0.537241277442499,0.0604942576326006,0.47634129081285,0.0353297308100754,0.297663188391019,0.014753145803466
0.5,2500,0.58883962189434,0.473844368971103,0.0150576853123282,0.561658929388364,0.0701737267920871,0.470991739346784,0.037198945608061,0.270207412617282,0.0155628262135152
0.5,2500,0.604964964890394,0.514101530254341,0.0157447289203381,0.647437494776028,0.077341296250451,0.495127809145175,0.0366445859714648,0.307036900162103,0.0161399486412726
0.5,2500,0.610835022533604,0.496647572646557,0.0131845375000764,0.452673817670176,0.051266900985471,0.540729911116142,0.0480069955315563,0.307851210017735,0.0146025427617806
0.5,2500,0.583668209354913,0.519009409360883,0.0163834259670447,0.447656368984536,0.052811265144237,0.576514293919364,0.0570276242645672,0.306325859123019,0.0160774034366845
0.5,2500,0.608561913433906,0.487799525476934,0.0152393508331578,0.543916607641854,0.0551152666876618,0.486501235952109,0.0358021818047976,0.298553378343714,0.0148080587264668
0.5,2500,0.594314558834329,0.493342043979586,0.0151554492638667,0.4744190417623,0.051342983944073,0.535313959300335,0.0403304747686682,0.304504672504565,0.0151974954370541
0.5,2500,0.604829153284665,0.514075109986425,0.0165924393176376,0.536834446249962,0.0635781587816774,0.499209059458218,0.0409824931000787,0.306568866174662,0.0164857623380058
0.5,2500,0.597716896146703,0.489037098057516,0.0144557011476518,0.463600667097982,0.0539399538864339,0.518732698820006,0.0456860328145524,0.285446423863142,0.0156373620403768
0.5,2500,0.598537299221968,0.507759868818247,0.0159758786956334,0.534265865998245,0.0620996288967137,0.4943035163208,0.0398861275286091,0.287942392690502,0.0165842613279636
0.5,2500,0.597915480242477,0.492167776754524,0.014237289696497,0.472825486436175,0.0500826939603618,0.465392708178493,0.0338214805567883,0.292786128176165,0.0153074778493873
0.5,2500,0.603989881214381,0.471259846530032,0.0143391179090793,0.4460059865839,0.0494211757029391,0.453768975707865,0.0336300513498006,0.28203838198383,0.0159814158242752
0.5,2500,0.608197816863651,0.521844061295287,0.015968910978308,0.65149567699708,0.0837040582412386,0.524067924097726,0.0392951434198636,0.314019647786274,0.0163837344973873
0.5,2500,0.596704822512772,0.499495351403931,0.014784431691493,0.449134168967435,0.0434311344376675,0.530048941315604,0.0478692329297967,0.287403075795557,0.0150186273005567
0.5,2500,0.577651980552317,0.508804208463815,0.0154900517497817,0.552651560080982,0.0592576022607715,0.508454265608599,0.0373115465069581,0.305867820559069,0.0151142606272282
0.5,2500,0.582603138336502,0.520239086633798,0.0159525433000952,0.539716092017861,0.0646887787757204,0.487032914668262,0.0378258730563263,0.293190894493298,0.0165674826247919
