"true_ci","gr1_ci","gr1_gs_ci","gr1_se_gs_ci","gr1_mb_ci","gr1_se_mb_ci","gr1_nv_ci","gr1_se_nv_ci","gr2_ci","gr2_gs_ci","gr2_se_gs_ci","gr2_mb_ci","gr2_se_mb_ci","gr2_nv_ci","gr2_se_nv_ci","less_error_var","more_error_var","gs_ci","se_gs_ci","mb_ci","se_mb_ci","nv_ci","se_nv_ci"
-0.5,-0.625,-0.573566240912435,0.0314170572917136,-0.553651679842896,0.0513952845957002,-0.452092854838499,0.0316666695175624,-0.5,-0.507244512792674,0.0235179864377714,-0.547343674271794,0.0515982309146749,-0.401626566343194,0.0246158921648256,NA,NA,NA,NA,NA,NA,NA,NA
-0.5,-0.625,-0.766459205110782,0.0452704709149413,-0.852825341160598,0.120747098646364,-0.566966891741077,0.0445068093052958,-0.5,-0.478773123445342,0.0259749287697399,-0.45347757254201,0.0403548783222455,-0.375132261953941,0.0263575539238665,NA,NA,NA,NA,NA,NA,NA,NA
-0.5,-0.625,-0.708176427205294,0.0402448157813718,-0.803831790624265,0.0867308277116626,-0.57196216659476,0.0403420314515074,-0.5,-0.462409149511392,0.0224427597133862,-0.481302606011754,0.0439949045512451,-0.378089779325371,0.0232362569876832,NA,NA,NA,NA,NA,NA,NA,NA
-0.5,-0.625,-0.554241199409051,0.0293979651138311,-0.539501929812664,0.048245937216731,-0.45958424919927,0.0298639743767039,-0.5,-0.53492319149422,0.0241502418131162,-0.632663350108933,0.0644046937773503,-0.423057927200425,0.0254434208603599,NA,NA,NA,NA,NA,NA,NA,NA
-0.5,-0.625,-0.645459749229177,0.0378774404170376,-0.618509950280207,0.0578907151500774,-0.54018026554406,0.0378214312225216,-0.5,-0.554588440273357,0.0263223068567875,-0.54761960318103,0.0416285892456447,-0.43892183182126,0.0273920241770562,NA,NA,NA,NA,NA,NA,NA,NA
-0.5,-0.625,-0.610159721492001,0.031072359626993,-0.570030849780906,0.0591024149990762,-0.451867184565122,0.031735028247989,-0.5,-0.511608907052582,0.0238285462349327,-0.527276586885635,0.0529933739142315,-0.440591743198676,0.0247080578158056,NA,NA,NA,NA,NA,NA,NA,NA
-0.5,-0.625,-0.569908909266566,0.03119751841651,-0.511482952056703,0.0527963134732961,-0.466227233704503,0.0315003512354318,-0.5,-0.517087964398821,0.0266746561436201,-0.502528913811693,0.0458007532486456,-0.446278018462358,0.0272017869796806,NA,NA,NA,NA,NA,NA,NA,NA
-0.5,-0.625,-0.662782056082938,0.0370959646727926,-0.631998529105119,0.0568425630872422,-0.529065649974957,0.037229255500591,-0.5,-0.43319639393465,0.0225457901237099,-0.380151832822395,0.036417041439676,-0.31976972760326,0.0231704140970426,NA,NA,NA,NA,NA,NA,NA,NA
-0.5,-0.625,-0.682619019026227,0.0345934184749263,-0.60672777633056,0.0567669471986956,-0.568988791137291,0.0355610516057338,-0.5,-0.492476867403004,0.0226469911826524,-0.437016005596488,0.0370013745263104,-0.396919578991989,0.0237193503923593,NA,NA,NA,NA,NA,NA,NA,NA
-0.5,-0.625,-0.632512252529239,0.0338247202982128,-0.600618724119405,0.0587414510889505,-0.548800442087521,0.0343281745871071,-0.5,-0.48206876428342,0.0245388342402219,-0.531365264169077,0.0644701627162459,-0.415112728454181,0.0250905588459258,NA,NA,NA,NA,NA,NA,NA,NA
