"true_ci","corr_disadv_error","gs_ci","se_gs_ci","mb_ci","se_mb_ci","nv_ci","se_nv_ci"
0.5,-0.5,0.486526269809799,0.0245193461402936,0.469526318890468,0.0429634320015297,0.346981793942969,0.0252433762603049
0.5,-0.5,0.509583305279435,0.025605668185899,0.494601902969133,0.0459032005540089,0.374572945642781,0.0263376739709891
0.5,-0.5,0.507801182090986,0.0258338187007555,0.48359487896095,0.04613562710562,0.339704652167322,0.0264350789010132
0.5,-0.5,0.490462570253708,0.0241819611223195,0.442457860580937,0.0391289124753105,0.329869758613012,0.0250138943305617
0.5,-0.5,0.514252906970977,0.0249442347579732,0.552559765167173,0.0522173442568781,0.385358410910067,0.0258747433752432
0.5,-0.5,0.457776817625066,0.0229849350886008,0.517873436802912,0.061992926911915,0.326281091176472,0.0237557364841164
0.5,-0.5,0.50023220336976,0.025255847276704,0.530383688549377,0.0532497698175903,0.371760780319345,0.0259662855073349
0.5,-0.5,0.500647240975366,0.023935986390008,0.526995829133801,0.0596977809722661,0.347750321044031,0.0249569914961065
0.5,-0.5,0.489767486901582,0.0242868598992833,0.491719302178102,0.0469319890071939,0.335916147709834,0.0250912753698292
0.5,-0.5,0.473620169204658,0.0229058399434663,0.490136411852031,0.0476480753018986,0.347710361361204,0.0238458483403985
0.5,-0.5,0.509777599608835,0.0238059001389376,0.522562516390646,0.0520303467329373,0.341768772490759,0.024973632092063
0.5,-0.5,0.473161716592847,0.0254040310333251,0.499978622395079,0.0456444011751543,0.347540605050323,0.0258217427286779
0.5,-0.5,0.494623940103264,0.0237561346164159,0.485056749830613,0.041715311667565,0.360241980110569,0.024741623721182
0.5,-0.5,0.491137687321347,0.0240120766650548,0.465645128539835,0.0420090214250556,0.331152183014206,0.0248960102188808
0.5,-0.5,0.50026831849439,0.0257736199393429,0.489842262929151,0.0432332385896545,0.361780389729969,0.0263637407347159
0.5,-0.5,0.493199954253306,0.0234235984247863,0.550526044367774,0.0670589929110343,0.337957506488266,0.0244851872672173
