"true_ci","less_error_var","more_error_var","gs_ci","se_gs_ci","mb_ci","se_mb_ci","nv_ci","se_nv_ci"
0.5,0.5,1,0.502932668102298,0.0167580928198585,0.516084722895034,0.0390468115424264,0.368358650949354,0.0175279427513458
0.5,0.5,1,0.588124107557431,0.0206360961929307,0.623875811180517,0.0553272468700913,0.434501188811697,0.0212297415906579
0.5,0.5,1,0.535911552098247,0.0180465815218524,0.578226273869226,0.0495715928084765,0.387322418090717,0.0187819452118218
0.5,0.5,1,0.470030680155226,0.0159226284940186,0.517690801231655,0.0475356102166054,0.343285238286224,0.016626750976189
0.5,0.5,1,0.53047877670546,0.0187100775379856,0.547225339674438,0.0334205567227088,0.428857508701934,0.0192323806078764
0.5,0.5,1,0.507919384123697,0.0164512725781069,0.532799535468782,0.0431687594291159,0.396477491152435,0.0172866868960859
0.5,0.5,1,0.532466860985988,0.0181058489262415,0.458586249470076,0.0321732291524885,0.387454665751157,0.0188039555447461
0.5,0.5,1,0.567819141386054,0.0184247150793101,0.540161205207252,0.0357238296000388,0.430817143777838,0.0193608719525543
0.5,0.5,1,0.482156130136711,0.0161089392680823,0.433656927293393,0.0270073941512886,0.378951164615873,0.0168125630235386
0.5,0.5,1,0.531477016021351,0.0177733908394855,0.508048150565875,0.0492291775431364,0.380041466216951,0.0185451584306929
0.5,0.5,1,0.501185801632346,0.0164721010455054,0.502869528990602,0.0362315157106586,0.371786608626519,0.0172785957713622
0.5,0.5,1,0.480470783877754,0.0159250189644563,0.480922379104365,0.0353637722192762,0.376288045878386,0.0166247284380258
0.5,0.5,1,0.505813622510597,0.0175177863193605,0.478192696178142,0.032936069122341,0.387208495515513,0.0181161667684566
0.5,0.5,1,0.499319841643386,0.017130462679286,0.652711427006673,0.101004488600094,0.357370841255739,0.0177875448740951
0.5,0.5,1,0.488197430819375,0.0170061006035648,0.495871762258017,0.0408236331894798,0.35375697887344,0.0176035267206234
0.5,0.5,1,0.483495981392692,0.0157951085686229,0.408304902018175,0.0268885863972492,0.337171594804628,0.0166451542667486
0.5,0.5,1,0.497650366517067,0.017653646696674,0.465800744634862,0.0338897762479091,0.357567747941421,0.0181813888767553
0.5,0.5,1,0.522900409731137,0.0165468873127146,0.555922703531948,0.0555210334269535,0.389062214946682,0.0175436399923922
0.5,0.5,1,0.46680235657155,0.0160612548233798,0.549131757662944,0.0491090789038011,0.369325080112936,0.0166473219757496
0.5,0.5,1,0.498783594533761,0.0157310443439097,0.445082392113645,0.030507829638109,0.367460623229177,0.0166983798637187
0.5,0.5,1,0.487218827706403,0.0155054623323347,0.533880517877995,0.0465644923439314,0.36912437341033,0.0164007895642122
0.5,0.5,1,0.56035180363895,0.0184534881406633,0.606070929259952,0.0411259441048614,0.446483636082155,0.0192780413534976
0.5,0.5,1,0.495906578491743,0.0178381219492579,0.481848366896099,0.0496785181661602,0.342107110297636,0.0182719558387316
0.5,0.5,1,0.494984976528867,0.0169915960113204,0.496205805463102,0.0367568342228387,0.372497130572498,0.0176323936616067
0.5,0.5,1,0.500682145422509,0.0168636828003066,0.488706716228738,0.0319663365430593,0.378451893673623,0.0175783091950018
0.5,0.5,1,0.505409186546349,0.0168914031136868,0.547315640655233,0.0408307425465098,0.389908544171059,0.0176281408237287
0.5,0.5,1,0.508305686389428,0.0172341595778739,0.550577441575512,0.0520576525379514,0.37765710219514,0.0179274679071834
0.5,0.5,1,0.515456747084622,0.0181135266415931,0.470717790055671,0.0322277402581833,0.388235512130331,0.0186764848435076
0.5,0.5,1,0.51835978521379,0.0187054125972829,0.520887377238946,0.0380752090092685,0.392006690413038,0.019155877673864
